GEO.id2,HC01_EST_VC01,HC02_EST_VC01,HC03_EST_VC01,HC04_EST_VC01,,,,,
Id2,Total; Estimate; Workers 16 years and over,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over","Car, truck, or van -- carpooled; Estimate; Workers 16 years and over",Public transportation (excluding taxicab); Estimate; Workers 16 years and over,,,,,
601,3929,3465,217,0,,,,,
602,11214,8194,2010,49,,,,,
603,12556,10559,1157,98,,,,,
606,1500,1078,84,0,,,,,
610,7840,6376,856,0,,43807,,,
612,15700,13491,1279,97,,,,,
616,2668,2179,391,0,,,,,
617,5278,4081,730,47,,,,,
622,1366,1181,0,27,,,,,
623,10946,9988,250,25,,,,,
624,5816,5051,380,16,,,,,
627,8756,7887,460,7,,,,,
631,279,241,20,0,,,,,
637,5264,4564,387,24,,,,,
638,3547,2668,656,41,,,,,
641,6116,5113,490,0,,,,,
646,11686,9630,840,98,,,,,
647,1363,1198,116,11,,,,,
650,3646,2925,269,0,,,,,
652,976,893,78,0,,,,,
653,2370,1833,285,2,,,,,
656,4469,3712,347,0,,,,,
659,12338,11432,144,23,,,,,
660,4748,4115,433,30,,,,,
662,9820,8855,572,42,,,,,
664,3223,2643,179,0,,,,,
667,4971,4554,149,17,,,,,
669,5971,5517,193,0,,,,,
670,2515,2203,130,7,,,,,
674,11071,9714,682,37,,,,,
676,8806,7799,445,50,,,,,
677,4348,3233,685,0,,,,,
678,6571,5782,245,11,,,,,
680,13133,10669,1136,203,,,,,
682,7783,6516,736,71,,,,,
683,8405,7456,294,54,,,,,
685,8370,7493,266,27,,,,,
687,7587,6219,810,38,,,,,
688,2993,2567,357,9,,,,,
690,1592,1288,173,0,,,,,
692,9024,7523,725,170,,,,,
693,13951,12399,964,195,,,,,
694,0,0,0,0,,,,,
698,8725,7383,755,107,,,,,
703,6442,5208,596,190,,,,,
704,2033,1784,128,0,,,,,
705,5837,4879,621,16,,,,,
707,2299,1818,282,35,,,,,
714,3875,3297,425,82,,,,,
715,724,606,67,12,,,,,
716,8051,6806,756,36,,,,,
717,4282,3462,198,54,,,,,
718,7132,6326,281,31,,,,,
719,7409,6450,661,56,,,,,
720,4386,3474,489,47,,,,,
723,3727,2962,486,24,,,,,
725,26895,21276,3071,369,,,,,
727,20210,16569,2447,214,,,,,
728,10901,9691,683,0,,,,,
729,15298,12919,1327,452,,,,,
730,8301,6732,661,101,,,,,
731,3954,3397,381,0,,,,,
735,3783,3281,267,11,,,,,
736,14835,11790,605,101,,,,,
738,9727,7607,801,88,,,,,
739,11865,9812,676,120,,,,,
740,377,299,10,0,,,,,
741,1445,1149,93,0,,,,,
745,16257,13333,1377,134,,,,,
751,5490,4525,332,37,,,,,
754,10833,8924,1115,288,,,,,
757,6693,6076,224,0,,,,,
765,2760,1907,501,27,,,,,
766,6492,5324,741,7,,,,,
767,7530,6475,597,0,,,,,
769,10997,9816,276,19,,,,,
771,9688,8611,454,12,,,,,
772,5734,4371,505,563,,,,,
773,5306,4240,434,76,,,,,
775,658,356,84,0,,,,,
777,11238,10087,625,55,,,,,
778,16764,13609,2138,249,,,,,
780,4442,3843,206,52,,,0,0,0
782,3909,3356,214,44,,,43807,9198,35748
783,7514,6807,314,53,,,,,
784,9493,8142,739,76,,,,,
786,46,46,0,0,,,,,
791,14048,12419,649,44,,,,,
794,6290,5563,337,42,,,,,
795,13836,11592,1133,155,,,,,
901,2095,990,84,164,,,,,
906,51,51,0,0,,,,,
907,7566,4428,574,767,,,,,
909,1944,958,138,342,,,,,
911,3312,2316,195,277,,,,,
912,2435,1422,282,263,,,,,
913,1594,743,119,318,,,,,
915,9307,4657,644,2378,,,,,
917,6360,4136,541,734,,,,,
918,5964,4265,594,325,,,,,
920,6848,4920,633,541,,,,,
921,12478,8786,1369,1043,,,,,
923,7930,4940,1211,1080,,,,,
924,16528,11770,2530,1123,,,,,
925,2686,1057,273,743,,,,,
926,40712,32751,3827,1145,,,,,
927,5394,4264,441,165,,,,,
934,47,47,0,0,,,,,
936,0,0,0,0,,,,,
949,26738,20208,3189,886,,,,,
950,0,0,0,0,,,,,
951,8,0,8,0,,,,,
952,2943,1945,399,104,,,,,
953,25666,21718,2597,310,,,,,
956,24687,19259,3188,1002,,,,,
957,13060,9790,1585,703,,,,,
959,18562,13603,2490,979,,,,,
960,0,0,0,0,,,,,
961,10680,7789,1358,505,,,,,
962,5599,4076,362,550,,,,,
965,2683,1917,239,256,,,,,
966,6632,5476,589,115,,,,,
968,1503,1204,168,7,,,,,
969,18249,15283,1448,506,,,,,
971,10750,8780,864,233,,,,,
976,22767,18542,2120,411,,,,,
979,7026,5638,694,232,,,,,
982,5034,3765,558,375,,,,,
983,13911,10739,2015,457,,,,,
985,11202,8352,1742,468,,,,,
987,22258,18601,2222,704,,,,,
1001,8747,7643,622,73,,,,,
1002,14547,8282,971,1561,,,,,
1003,4044,641,186,166,,,,,
1005,2568,1969,238,0,,,,,
1007,7630,6219,761,92,,,,,
1008,662,552,59,0,,,,,
1009,200,125,31,0,,,,,
1010,2169,1874,82,0,,,,,
1011,817,640,125,0,,,,,
1012,297,243,9,0,,,,,
1013,10008,8526,653,264,,,,,
1020,15305,13393,1167,120,,,,,
1022,1292,1262,15,0,,,,,
1026,480,342,33,14,,,,,
1027,9779,7906,715,174,,,,,
1028,8034,7041,491,112,,,,,
1029,315,269,14,0,,,,,
1030,5654,4941,442,7,,,,,
1031,560,504,22,0,,,,,
1032,368,292,25,3,,,,,
1033,3433,2902,159,91,,,,,
1034,1140,993,42,2,,,,,
1035,3043,2585,135,57,,,,,
1036,2690,2286,180,0,,,,,
1037,259,224,16,0,,,,,
1038,1682,1323,135,7,,,,,
1039,706,531,53,0,,,,,
1040,15893,12570,1358,329,,,,,
1050,1285,1150,74,0,,,,,
1053,651,547,35,27,,,,,
1054,1061,805,86,4,,,,,
1056,9970,8786,678,34,,,,,
1057,4688,4172,375,0,,,,,
1060,8515,4937,410,282,,,,,
1062,5400,4082,492,97,,,,,
1063,335,11,11,28,,,,,
1066,0,0,0,0,,,,,
1068,947,785,105,3,,,,,
1069,4272,3479,364,0,,,,,
